Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1031,1295
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2674,2674
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2254,3219
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7359,7633
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1309,2020
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2810,2810
Indian Institute of Technology Mandi,"Quantum Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,870,926
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5544,6145
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11269,11269
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1221,1221
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1834,2351
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5381,5381
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1326,1618
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1154,1788
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5125,5125
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,311,311
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,543,543
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3554,3554
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,50,50
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,355,355
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,211,211
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2301,3436
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10850,10850
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,466,466
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1107,1107
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4618,4618
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,668,714
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,453,453
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3251,4465
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9837,9837
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,309P,309P
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1025,1025
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1827,1827
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6189,6189
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1611,1611
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,541,541
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3810,4990
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7677,10812
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,92,92
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,904,1092
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2493,2493
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1950,3035
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6552,6855
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1198,1665
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2555,2703
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,689,982
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1106,1106
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2208,2724
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4939,6370
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,179,179
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,465,577
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1490,1490
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1091,1452
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3401,4023
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,94,94
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,443,848
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1208,1595
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,436,474
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),371,371
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2758,3968
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),7810,8394
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,233,233
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,628,671
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),1877,1877
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,1539,2198
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),4126,5075
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,816,1009
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),2551,2767
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,522,618
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only (including Supernumerary),995,995
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,6437,8823
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),14627,15833
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1483,1527
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),3734,3734
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,4233,4691
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),8487,9163
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1900,2267
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),3939,3939
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1148,1291
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1721,1721
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,179,4901
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8994,10332
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,28P,28P
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),326P,326P
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,684,813
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1946,2132
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,78P,78P
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1510,2318
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3574,5414
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,44P,44P
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,126,1156
